A,B,C,D,E,F,G,H,I,J,K,L,M
1,0,1,4,0,0,0,1,0,1,2,0,0
0,1,1,0,17,0,0,0,0,1,2,61,46
2,0,7,4,123,37,42,2,0,8,1,52,16
21,1,24,0,98,56,58,22,1,34,2,0,0
30,0,27,3,0,17,28,30,0,28,1,0,1
6,0,1,3,0,0,0,9,0,2,1,0,0
1,1,1,1,0,0,0,0,1,1,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,1,2,0,0,0,1,0,1,3,1,0
1,0,1,2,15,0,0,1,0,1,1,87,16
2,0,4,3,135,38,41,2,0,6,2,56,3
26,0,27,1,86,57,60,24,0,30,1,0,0
25,0,26,2,0,15,25,33,1,25,1,1,0
7,0,2,3,0,0,0,11,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,1,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,0,0,0,1,1,0
1,1,1,2,19,0,0,1,0,1,2,83,28
1,1,11,2,137,37,41,2,0,5,1,46,9
16,0,29,2,83,63,61,28,0,31,2,1,0
34,1,27,2,0,18,18,27,0,26,2,0,0
7,0,1,3,0,0,0,7,0,1,1,1,0
1,1,1,1,0,0,0,1,0,0,3,1,0
1,1,1,2,0,0,0,1,0,1,0,0,0
1,0,1,3,0,0,0,1,0,1,2,0,0
0,0,1,2,21,0,0,1,0,1,2,68,19
2,0,8,2,132,34,40,1,0,9,2,51,2
23,1,22,1,85,63,63,26,0,27,0,0,0
35,0,26,2,0,20,18,32,0,27,2,0,1
9,0,1,3,0,0,0,5,0,0,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,1,1,1,15,0,0,1,1,1,1,93,33
1,0,6,3,133,39,39,1,0,9,3,53,5
22,1,32,2,90,61,60,25,0,28,2,6,0
24,1,37,1,0,27,12,27,0,20,1,0,0
10,0,3,3,0,0,0,6,0,1,2,0,0
1,1,1,1,0,0,0,1,1,1,1,0,0
1,0,1,3,0,0,0,1,0,1,3,0,0
1,1,1,2,0,0,0,1,0,1,0,1,0
1,0,2,2,14,0,0,1,1,0,2,93,13
2,0,3,2,128,35,39,2,0,4,1,51,0
23,0,24,2,94,56,62,21,0,34,2,11,0
28,0,35,2,1,38,7,31,1,20,2,0,0
16,0,6,3,0,0,0,2,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,3,0,0
1,0,1,2,0,0,0,0,0,1,1,0,0
1,0,1,2,0,0,0,1,0,0,3,0,0
1,0,1,2,25,0,0,1,0,1,1,74,32
1,0,6,2,115,40,42,2,0,9,1,53,9
25,0,20,2,97,55,58,30,0,25,2,1,0
32,0,27,1,0,19,23,24,1,29,2,0,0
9,0,1,2,0,0,0,10,0,1,2,1,0
1,0,1,3,0,0,0,1,1,0,1,0,0
1,1,2,1,0,0,0,1,0,1,1,0,0
1,1,1,3,0,0,0,1,1,1,1,2,0
1,1,1,1,15,0,0,1,0,1,3,66,20
1,0,6,2,125,37,39,0,1,8,1,64,10
18,0,39,3,99,59,60,21,1,28,2,3,0
26,1,26,2,0,32,12,37,0,17,1,1,0
17,0,3,2,0,0,0,6,1,0,3,0,0
1,0,1,2,0,0,0,1,0,1,0,0,0
1,0,1,2,0,0,0,0,0,1,3,0,0
1,0,1,2,0,0,0,1,0,1,1,1,0
1,0,1,2,25,0,0,1,0,1,2,63,42
2,1,6,2,125,40,42,3,0,8,1,26,11
25,0,29,2,86,58,62,25,0,27,3,0,1
25,0,22,3,0,10,24,28,0,29,1,0,1
6,0,2,1,0,0,0,13,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,1,1,2,0,0,0,1,0,1,2,1,0
1,0,1,2,0,0,0,1,1,1,1,0,0
0,0,1,3,20,0,0,0,0,1,3,77,32
1,0,8,1,132,41,40,1,0,9,0,43,10
25,0,27,2,88,62,62,23,0,29,2,1,0
37,3,22,2,0,17,17,31,0,28,2,0,0
7,0,1,2,0,0,0,4,0,1,2,1,1
1,0,1,2,0,0,0,0,0,1,0,0,0
1,0,1,3,0,0,0,1,0,1,4,0,0
1,1,1,2,0,0,0,1,0,0,1,0,0
1,0,1,1,20,0,0,1,0,1,1,68,20
3,1,6,1,124,40,40,3,0,5,1,41,1
20,1,30,3,94,54,62,25,1,26,2,3,0
32,0,23,3,0,28,14,33,0,26,2,0,0
13,0,4,2,0,0,0,4,0,1,2,0,2
1,1,1,1,0,0,0,1,0,0,1,0,0
1,0,1,2,0,0,0,1,1,1,2,0,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,0,1,3,21,0,0,1,0,1,2,79,26
1,0,11,2,128,36,41,2,0,6,1,33,1
22,0,24,2,87,58,63,29,0,29,2,0,0
30,0,21,2,0,12,26,32,0,29,2,1,0
4,0,1,2,0,0,0,8,0,1,1,0,0
1,1,1,2,0,0,0,1,0,1,2,0,0
1,0,1,1,0,0,0,1,1,1,1,0,0
1,1,1,2,0,0,0,1,0,1,2,0,0
1,1,2,2,20,0,0,1,0,1,1,70,32
2,0,3,3,125,35,41,2,0,7,1,50,4
16,0,32,3,94,56,61,25,0,25,2,4,0
28,1,30,1,0,26,20,29,0,33,3,0,0
11,0,2,3,0,0,0,6,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,1,0,0,0,0,1,0,1,2,0,1
1,0,1,4,0,0,0,0,0,1,2,0,0
1,1,1,1,22,0,0,1,0,0,1,81,9
2,0,5,2,133,37,42,1,0,9,2,49,0
22,0,30,2,82,61,56,26,0,34,1,13,0
27,0,31,2,0,40,1,22,0,13,2,0,0
22,1,7,2,0,0,0,0,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,2,2,0,0,0,1,0,0,1,0,1
1,0,1,3,18,0,0,1,1,1,2,81,19
1,0,9,1,140,40,41,1,0,5,2,43,1
22,0,29,3,79,63,63,26,0,33,1,3,0
31,2,31,0,0,24,6,30,0,15,2,2,0
11,0,1,4,0,0,0,6,1,1,1,0,0
1,0,1,2,0,0,0,1,0,0,2,0,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,0,1,2,23,0,0,1,1,1,1,69,25
2,1,8,2,138,42,43,6,0,6,2,31,4
22,1,33,1,77,62,61,24,0,35,2,0,0
27,0,30,3,0,22,8,23,1,22,1,0,0
10,2,2,1,0,0,0,2,0,0,3,0,0
1,1,1,3,0,0,0,1,0,1,0,0,0
1,0,1,2,0,0,0,1,0,1,2,0,0
1,1,1,1,0,0,0,1,0,1,1,1,0
1,0,1,4,21,0,0,0,0,1,3,84,25
1,0,7,2,136,37,42,3,0,7,1,41,7
29,0,25,1,81,61,64,26,0,29,1,0,0
26,2,23,1,0,11,23,34,0,28,2,0,1
5,0,1,3,0,0,0,8,0,1,2,0,1
1,0,1,1,0,0,0,1,1,1,1,0,0
1,0,1,3,0,0,0,0,0,1,3,0,0
1,2,1,1,0,0,0,1,0,1,1,0,0
1,0,1,3,23,0,0,1,0,0,2,75,24
1,0,7,2,120,41,43,3,0,9,1,59,5
30,1,25,1,94,53,61,23,0,34,2,0,0
21,1,26,3,0,18,21,22,0,30,2,0,0
10,0,1,3,0,0,0,10,1,1,2,0,0
1,0,1,1,0,0,0,1,0,1,1,1,0
1,1,1,2,0,0,0,1,0,0,1,0,0
1,2,1,1,0,0,0,1,0,1,2,0,0
1,0,1,4,20,0,0,0,0,1,1,80,27
2,0,7,2,121,38,41,1,0,11,3,78,7
16,1,30,1,97,57,61,19,1,36,0,12,0
31,0,29,3,2,34,9,19,0,28,2,0,0
13,1,8,1,0,0,0,4,0,1,3,0,0
1,0,1,3,0,0,0,0,0,0,2,0,0
1,0,1,2,0,0,0,1,0,1,1,0,0
1,1,1,1,0,0,0,1,1,1,1,0,0
1,3,1,2,19,0,0,1,1,1,2,86,18
2,0,8,2,133,36,43,4,1,5,2,48,5
19,1,34,3,87,61,61,24,0,32,2,1,0
27,0,23,2,0,24,14,29,0,20,1,0,0
15,0,2,1,0,0,0,9,0,1,2,0,0
1,0,1,4,0,0,0,1,0,1,1,0,0
1,0,1,1,0,0,0,1,0,1,2,1,0
1,0,1,2,0,0,0,0,0,1,2,0,0
1,0,1,2,20,0,0,1,0,1,2,77,27
2,1,8,2,131,35,40,3,0,4,1,49,8
27,0,23,2,88,61,63,30,0,29,1,3,1
35,0,25,2,0,32,8,31,1,18,2,0,0
14,1,2,2,0,0,0,1,0,1,2,0,0
1,0,2,2,0,0,0,1,0,1,2,0,0
2,1,2,3,0,0,0,2,1,2,2,1,0
1,1,2,3,0,0,0,1,0,1,3,0,0
2,1,2,4,23,0,0,1,0,2,2,100,46
3,0,11,4,114,39,38,2,1,10,3,84,28
20,0,27,3,132,57,63,23,0,29,2,44,11
35,1,22,3,118,61,60,38,0,23,4,13,0
40,0,23,5,6,39,36,34,0,31,1,0,0
21,1,11,3,0,0,0,17,2,5,4,0,1
2,1,2,2,0,0,0,1,0,2,4,0,0
2,0,2,5,0,0,0,2,0,1,3,0,1
2,1,2,4,29,0,0,1,0,2,3,118,34
2,1,7,3,123,38,48,5,0,11,3,103,17
31,0,22,5,125,58,62,27,0,31,2,61,0
27,0,33,2,95,58,60,30,0,28,4,18,0
35,2,25,3,15,55,7,31,0,23,1,0,0
31,0,15,5,0,1,0,4,0,1,4,0,0
2,1,2,5,0,0,0,2,0,2,3,1,1
2,0,2,3,0,0,0,1,1,1,3,2,0
1,0,1,4,13,0,0,1,0,2,3,89,27
2,0,4,3,113,38,39,2,1,3,3,62,41
28,1,28,3,119,51,54,30,0,31,2,49,46
26,0,26,4,125,61,58,27,0,27,4,10,0
37,1,25,4,23,36,55,27,1,30,3,0,1
25,1,5,3,0,0,1,31,0,14,2,1,0
2,1,2,4,0,0,0,1,1,2,4,1,0
1,0,2,3,0,0,0,1,0,1,3,0,0
2,0,2,4,15,0,0,2,1,2,3,97,49
3,0,7,4,128,39,38,2,1,6,2,79,17
22,0,39,3,114,59,61,26,0,28,3,84,14
23,0,34,5,118,56,58,31,0,35,3,15,0
26,0,28,2,21,50,33,27,0,30,3,0,0
25,0,16,3,0,1,0,15,0,4,4,0,0
1,2,2,4,0,0,0,2,0,2,3,0,0
2,0,2,4,0,0,0,1,1,1,2,0,0
2,0,2,4,13,0,0,1,0,2,4,77,35
2,0,5,3,123,37,37,4,0,6,3,78,29
21,0,32,5,120,54,62,27,1,30,2,38,12
36,0,25,4,117,57,59,37,1,19,2,2,0
28,0,29,3,16,29,54,33,0,32,2,2,0
12,0,5,3,0,0,0,24,1,15,4,1,0
2,1,2,4,0,0,0,1,0,2,4,0,0
2,0,1,4,0,0,0,1,0,1,4,0,0
1,0,2,3,19,0,0,2,0,2,1,108,40
2,1,9,3,119,40,37,1,0,7,3,90,21
28,0,25,4,124,60,57,28,0,28,3,44,11
29,2,37,2,115,59,61,22,0,31,3,8,0
24,0,30,6,1,34,30,37,0,31,3,0,0
18,0,10,4,0,0,0,9,0,5,2,1,0
2,0,2,3,0,0,0,2,1,2,2,1,0
1,0,2,4,0,0,0,1,0,1,4,0,0
2,1,2,2,22,0,0,1,1,2,4,78,53
2,0,7,4,117,40,40,4,0,6,4,64,25
26,0,28,5,121,58,56,26,1,32,2,28,44
27,0,34,3,92,57,57,26,1,27,2,0,2
33,0,22,3,46,14,53,32,0,26,5,0,0
6,1,2,3,0,0,23,30,0,27,0,0,0
1,2,2,4,0,0,0,9,1,2,4,0,0
2,1,2,4,0,0,0,1,0,1,4,0,0
2,0,2,5,17,0,0,2,0,2,3,99,30
2,0,8,3,121,38,39,3,0,4,3,79,8
23,0,27,3,126,56,60,26,0,33,3,69,1
37,0,26,4,97,57,64,35,0,27,1,15,0
32,0,24,4,15,50,12,29,1,28,4,1,0
26,0,14,3,0,0,0,3,0,1,3,0,0
2,1,1,4,0,0,0,1,0,2,4,0,0
2,0,2,3,0,0,0,2,0,1,3,0,0
1,2,2,2,18,0,0,1,0,2,2,101,37
2,2,10,4,121,38,36,3,0,4,4,66,16
29,0,24,5,115,51,65,27,0,33,1,78,7
26,2,27,2,103,57,62,31,1,30,2,18,0
23,0,29,6,25,49,22,31,0,27,5,0,0
28,0,16,2,0,2,0,13,0,1,2,1,0
4,0,2,4,0,0,0,1,1,2,5,0,0
1,2,2,2,0,0,0,1,0,1,1,0,0
2,0,2,7,21,0,0,2,0,2,3,101,33
2,0,10,3,113,40,37,3,0,7,2,68,38
15,2,38,1,130,59,56,21,1,29,4,38,18
29,1,31,5,114,57,61,31,1,29,4,13,0
31,1,32,5,7,44,29,29,0,29,3,2,0
19,0,11,2,0,0,0,16,0,3,3,0,1
1,2,2,3,0,0,0,1,0,2,2,0,0
2,1,2,4,0,0,0,2,1,1,2,0,0
2,0,2,4,21,0,0,1,1,2,4,85,31
2,4,10,2,117,41,42,2,0,9,4,106,17
29,0,21,6,114,55,54,27,0,25,2,58,3
34,0,27,3,126,55,58,31,0,32,3,6,0
27,1,30,4,0,38,35,31,1,26,4,2,0
20,0,7,4,0,0,0,14,1,7,2,0,0
2,0,1,4,0,0,0,1,1,2,2,0,0
2,0,2,3,0,0,0,1,1,1,4,2,0
1,0,2,4,22,0,0,2,0,2,2,82,42
3,1,7,3,114,39,40,2,1,9,3,63,27
27,0,21,4,119,52,60,28,0,27,3,58,5
33,1,27,3,112,55,64,30,1,34,3,19,0
28,0,28,5,20,50,25,30,0,26,3,0,1
27,1,14,2,0,1,0,13,0,4,3,0,0
3,0,2,4,0,0,0,1,0,2,3,0,0
1,1,2,4,0,0,0,2,0,1,4,1,0
2,1,2,4,20,0,0,1,0,2,2,86,50
2,1,6,1,121,36,43,2,1,11,3,90,28
20,0,27,6,121,60,61,24,0,31,3,44,8
37,1,30,4,124,58,59,29,0,39,3,16,0
26,0,33,3,13,48,34,25,0,33,3,0,1
28,0,11,4,0,0,0,13,0,5,3,0,1
1,1,2,3,0,0,0,2,1,1,3,0,0
2,0,2,4,0,0,0,1,0,2,3,2,0
2,0,2,3,18,0,0,2,1,1,3,99,40
2,1,9,3,126,40,39,1,1,8,3,63,21
25,0,30,4,117,57,62,27,1,31,3,50,10
28,1,29,4,120,57,59,33,1,31,3,6,1
25,0,32,5,3,31,39,33,0,30,2,1,0
18,0,4,3,0,0,0,13,0,7,3,0,0
2,1,2,3,0,0,0,1,0,1,3,0,0
2,0,2,4,0,0,0,2,1,2,3,0,0
1,0,2,3,13,0,0,1,0,1,3,94,49
2,1,9,4,114,34,37,4,1,6,4,78,35
23,2,27,2,114,58,58,27,0,24,2,55,12
27,1,25,5,127,51,55,29,0,35,3,25,0
33,0,26,4,20,46,49,29,0,26,3,1,0
24,1,10,4,0,0,0,24,0,9,1,0,2
0,0,0,2,0,0,0,0,2,0,3,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,2,17,0,0,1,0,1,1,21,6
1,0,4,0,75,32,39,0,0,3,1,4,0
21,0,16,1,2,11,12,24,0,22,0,0,0
3,1,0,0,0,0,0,4,0,0,1,0,0
1,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,16,0,0,0,0,1,0,19,6
0,0,5,0,81,30,37,1,0,6,0,4,0
14,0,21,2,2,14,18,19,0,24,2,0,0
5,0,1,0,0,0,0,4,0,3,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,2,0,0
0,0,0,2,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,1,0,0,1,0,0
0,0,0,0,23,0,0,0,0,0,1,17,4
2,0,7,1,71,33,38,2,0,3,0,1,0
19,0,15,1,0,11,12,25,0,15,1,0,0
3,1,0,1,0,0,0,6,0,1,1,0,1
1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0,1,1,0,1
0,0,0,1,20,0,0,0,1,0,1,21,7
3,0,4,0,75,37,39,3,0,5,1,2,0
20,1,17,2,1,8,12,27,0,16,0,0,0
3,0,1,0,0,0,0,1,0,1,1,0,0
1,0,0,2,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,1,0,0,0
0,0,0,1,17,0,0,0,0,0,1,25,1
2,0,6,0,81,38,31,0,0,6,1,1,0
18,1,25,1,0,17,12,17,0,20,0,0,0
7,1,0,0,0,0,0,1,0,1,2,0,0
0,0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,2,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
1,0,0,0,13,0,0,1,0,1,0,29,5
0,0,4,1,87,35,38,1,0,4,2,2,0
17,0,24,1,0,16,11,19,0,22,0,0,0
7,0,2,0,0,0,0,4,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,2,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,2,0,0
1,0,1,0,20,0,0,0,0,0,0,20,1
2,0,4,2,76,33,26,1,0,4,0,7,0
19,0,23,0,1,18,20,13,0,25,2,0,0
5,0,0,1,0,0,0,5,0,0,0,0,0
0,1,1,0,0,0,0,1,0,1,0,0,0
1,0,0,2,0,0,0,0,0,0,2,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,1,19,0,0,0,0,0,2,29,3
0,0,11,1,74,36,36,4,0,3,0,2,0
18,0,17,1,4,14,11,19,0,17,0,0,0
4,0,3,1,0,0,0,6,0,0,2,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,1,0,0
1,0,0,2,0,0,0,0,0,1,1,0,0
0,0,1,1,22,0,0,0,0,0,0,19,0
0,0,6,1,72,34,38,2,0,5,2,0,0
17,0,18,0,0,7,15,26,0,20,0,0,0
2,1,0,1,0,0,0,2,0,0,0,0,0
1,0,1,1,0,0,0,1,0,0,2,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,18,0,0,0,0,1,0,26,0
0,0,9,0,78,34,33,2,0,4,1,6,0
15,0,17,2,1,12,18,20,0,17,0,0,0
6,0,2,0,0,0,0,8,0,2,1,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,2,0,0
0,0,0,2,15,0,0,1,0,0,0,32,6
1,0,5,0,79,37,32,2,0,6,1,3,0
17,0,25,1,1,19,7,11,0,19,1,0,0
9,0,1,1,0,0,0,3,0,0,1,0,0
1,0,1,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,1,0,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,1,0,20,0,0,0,0,0,1,28,1
2,0,9,2,78,38,34,3,0,4,1,5,0
15,0,19,0,1,15,12,16,0,23,0,0,0
8,0,3,0,0,0,0,2,0,0,1,0,0
0,0,0,2,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,2,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,1,1,0,0
1,0,0,1,16,0,0,0,1,0,0,8,6
1,1,7,0,81,30,41,0,0,6,1,1,0
9,1,17,1,2,7,21,24,0,24,0,0,1
4,0,1,2,0,0,0,10,0,0,2,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0,1,0,0,0
0,0,1,2,0,0,0,0,0,0,2,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,19,0,0,1,0,1,1,19,3
0,1,5,1,76,34,30,0,1,6,1,4,0
26,0,18,1,3,22,12,16,0,14,0,0,0
8,0,1,1,0,0,0,6,0,2,1,0,0
0,0,0,1,0,0,0,0,0,0,1,1,0
1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0,0,2,1,0
0,0,0,2,19,0,0,0,0,0,0,25,3
1,0,4,0,77,39,30,5,0,7,0,0,0
18,0,26,0,1,13,15,12,0,18,2,0,0
5,0,0,2,0,0,0,4,0,2,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0
1,1,1,0,0,0,0,1,0,1,0,0,0
0,0,0,2,17,0,0,0,0,0,1,22,4
1,0,7,0,83,36,41,2,0,6,1,7,0
21,0,18,2,3,14,12,19,0,23,0,0,0
5,0,1,0,0,0,0,4,0,1,2,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,1,1,0
0,0,1,2,0,0,0,0,0,0,1,0,0
0,0,0,1,22,0,0,1,0,1,0,22,5
1,0,8,1,75,35,44,2,1,6,1,2,0
13,1,22,0,2,10,10,23,0,15,1,0,0
4,0,1,1,0,0,0,7,0,3,1,0,0
0,0,0,2,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,2,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,1,16,0,0,0,0,1,0,15,1
0,0,7,1,82,29,39,3,0,6,2,0,0
15,0,14,0,2,10,22,19,0,25,0,0,0
2,1,3,2,0,0,0,9,0,2,0,0,0
1,0,1,0,0,0,0,0,0,0,2,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,2,19,0,0,0,0,1,2,25,5
2,0,6,1,82,38,35,2,0,8,1,5,0
13,0,27,1,3,17,13,15,0,17,1,0,0
9,0,1,1,0,0,0,5,0,3,0,0,0
0,0,1,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,1,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,0,2,0,0
1,0,0,1,21,0,0,0,0,1,0,21,3
0,0,5,1,79,31,40,2,0,9,1,2,0
24,1,10,1,2,15,16,17,0,23,0,0,0
7,0,3,1,0,0,0,5,0,2,1,0,0
0,0,0,1,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,0,1,0,0,2,0,0
0,1,0,1,19,0,0,0,0,1,1,22,9
1,0,7,1,81,35,37,1,0,6,1,3,0
21,0,16,1,0,14,14,18,0,20,0,0,0
5,1,1,1,0,0,0,6,0,2,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,2,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,2,0,0,0,0,0,0,2,1,1
0,0,1,0,18,0,0,1,0,1,0,24,3
2,1,6,0,78,28,35,1,0,5,1,4,0
17,1,19,2,2,21,14,18,0,20,1,0,0
7,0,0,1,0,0,0,3,0,4,0,1,1
1,0,1,1,0,0,0,0,0,0,2,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,2,0,0
1,0,1,1,14,0,0,1,0,1,0,30,2
0,0,5,2,86,37,29,1,1,2,1,5,0
20,0,28,0,1,23,12,19,0,14,1,0,0
7,0,4,1,0,0,0,6,0,1,0,0,1
2,0,2,3,0,0,0,1,0,2,2,1,0
1,1,2,3,0,0,0,2,0,1,3,0,0
2,0,2,4,0,0,0,1,0,1,3,2,0
2,2,2,2,0,0,0,1,0,2,3,0,0
1,2,2,5,23,0,0,2,0,1,2,100,34
3,0,7,4,114,43,41,4,1,11,3,91,36
23,0,35,3,124,55,56,22,0,25,4,40,12
28,1,30,4,102,61,58,32,0,32,1,0,1
32,1,28,2,0,19,30,30,0,24,5,0,0
7,1,2,5,0,0,0,16,0,4,1,0,2
2,0,2,3,0,0,0,1,1,1,3,1,0
2,0,2,4,0,0,0,2,0,2,3,0,0
2,0,2,4,19,0,0,1,0,1,3,88,43
1,2,6,2,124,35,40,5,0,9,4,100,27
22,1,32,5,122,57,64,27,0,25,1,49,0
28,0,24,4,91,57,61,37,1,33,3,14,0
35,1,32,2,8,42,8,25,1,23,3,1,0
18,0,10,4,0,0,0,2,0,1,3,1,0
2,0,2,3,0,0,0,2,1,2,1,0,0
1,0,2,5,0,0,0,1,2,1,5,1,0
2,0,2,3,25,0,0,1,0,2,3,118,28
3,1,10,3,123,42,43,5,0,9,3,67,12
20,1,34,4,121,61,61,27,0,26,2,54,0
31,1,28,3,93,54,59,28,0,34,3,10,0
29,2,34,3,0,38,4,29,0,21,3,1,0
17,0,6,4,0,0,0,1,0,1,3,1,0
2,1,2,3,0,0,0,2,1,2,2,0,0
2,1,2,4,0,0,0,1,1,1,4,0,0
1,0,2,4,20,0,0,1,1,2,4,93,26
3,2,6,3,119,38,43,2,0,8,2,64,29
21,1,35,4,129,60,56,28,0,28,3,60,7
28,2,35,3,95,59,61,35,0,30,3,4,1
24,0,32,4,0,27,19,26,0,29,2,0,0
13,2,5,2,0,0,0,5,0,2,3,0,0
1,2,2,5,0,0,0,2,0,1,4,0,0
2,0,2,4,0,0,0,1,0,2,3,0,0
2,0,2,3,21,0,0,2,0,1,2,100,76
3,1,4,4,121,41,38,3,0,9,2,81,41
23,1,33,3,118,57,60,25,0,29,3,35,14
34,0,27,4,102,57,59,32,0,27,4,0,0
25,1,24,3,2,16,36,24,1,36,1,2,0
13,0,2,4,0,0,0,13,0,10,5,1,0
2,1,2,3,0,0,0,1,0,1,2,0,0
1,0,2,4,0,0,0,1,1,2,3,0,0
2,2,2,2,19,0,0,2,1,1,3,87,48
2,0,7,6,120,37,42,3,0,6,3,61,21
18,0,35,2,127,59,56,21,0,36,3,38,7
29,0,36,4,100,62,61,32,0,28,2,5,1
29,0,29,4,0,29,20,27,1,28,3,0,0
14,0,5,3,0,0,0,11,1,1,3,0,1
2,2,2,3,0,0,0,1,0,2,3,0,0
2,1,2,3,0,0,0,2,1,1,2,0,1
1,3,1,4,25,0,0,1,0,2,3,88,40
4,0,10,6,110,40,41,3,1,6,4,77,21
23,0,30,3,120,55,56,29,0,28,3,78,1
27,1,34,3,107,61,60,28,0,32,2,12,0
23,1,32,2,1,38,12,32,0,20,4,0,0
20,2,10,4,0,0,0,4,0,1,2,0,0
1,1,2,5,0,0,0,1,1,1,2,0,0
2,1,1,3,0,0,0,2,0,2,4,0,0
2,0,2,4,24,0,0,1,0,1,2,101,33
2,1,6,1,121,37,43,3,0,11,4,83,14
28,1,26,5,126,58,58,22,0,29,2,65,0
32,0,31,5,86,62,61,34,0,33,3,15,0
31,0,26,3,5,42,1,28,0,15,4,1,0
19,1,16,2,0,0,0,1,0,2,2,0,0
2,0,2,4,0,0,0,2,0,1,3,1,0
1,0,1,3,0,0,0,1,0,2,3,0,0
2,1,2,4,21,0,0,1,0,1,3,104,22
